sample,gt_x,gt_y,gt_z,raw_x,raw_y,raw_z,ours_x,ours_y,ours_z,raw_d,raw_v,raw_u,raw_3d_m,raw_2d_px,ours_3d_m,ours_2d_px
264,0.41729000210762024,1.638584017753601,0.8268280029296875,0.4421216632249819,1.9823485556014977,1.0752699175252785,0.30443539806913456,1.2971947585857448,0.6382860761761688,1,28,6,0.42486945501359397,80.19945960612652,0.405993652748156,77.06167265470775
265,0.4363020062446594,1.640820026397705,0.8236820101737976,0.4421216632249819,1.9823485556014977,1.0752699175252785,0.30443539806913456,1.2971947585857448,0.6382860761761688,1,28,6,0.4242311631563289,79.10803434290118,0.4121150074595827,78.18004263310888
266,0.4643389880657196,1.6346720457077026,0.8229470252990723,0.4421216632249819,1.9823485556014977,1.0752699175252785,0.3012777100491388,1.3945556170998008,0.689849055429422,1,28,6,0.4301620706157235,78.39112735715199,0.3193116804303229,60.77277131904118
267,0.4797010123729706,1.6358510255813599,0.8233150243759155,0.4421216632249819,1.9823485556014977,1.0752699175252785,0.3012777100491388,1.3945556170998008,0.689849055429422,1,28,6,0.4300628023607129,77.29810109823323,0.32843799084949094,61.85409397790174
268,0.49685201048851013,1.6361069679260254,0.8239560127258301,0.43873477625998397,1.3714211632902598,0.7211469924657234,0.4571114661619471,1.4830809373248897,0.6591130216693185,2,49,43,0.2898376834314321,52.919399097385366,0.2284064110426159,43.1550399243439
269,0.5131670236587524,1.6380380392074585,0.818701982498169,0.43873477625998397,1.3714211632902598,0.7211469924657234,0.4571114661619471,1.4830809373248897,0.6591130216693185,2,49,43,0.2934990529063236,53.65586395517313,0.22939608838983028,43.60751557472656
270,0.5317209959030151,1.6310640573501587,0.8172490000724792,0.5188317178328503,1.4932989897997706,0.7881418235207492,0.4734429357486224,1.4701913558158928,0.7318028939615016,2,44,35,0.14139510264908967,25.69762037823663,0.1912521776185058,35.75725289952124
271,0.5433130264282227,1.6269220113754272,0.8184220194816589,0.5188317178328503,1.4932989897997706,0.7881418235207492,0.48452418537208997,1.598949458303392,0.7319011700700577,2,44,35,0.13918094924586966,25.559698437963235,0.10827949455458327,21.465902167647982
272,0.5437350273132324,1.6281789541244507,0.818340003490448,0.5188317178328503,1.4932989897997706,0.7881418235207492,0.5719651675452845,1.5698009355647,0.6842492304386297,2,44,35,0.1404446854558227,25.781392762177166,0.14894720301542475,25.28341280956191
273,0.5770769715309143,1.6285669803619385,0.8177329897880554,0.5812088884420292,1.5863718565224068,0.84294616596597,0.5260021291786697,1.4891851664042135,0.772830165675951,2,40,29,0.049327532536833196,9.105884071979915,0.15508769518145238,28.387361486909295
274,0.5877529978752136,1.6270450353622437,0.8128849864006042,0.5812088884420292,1.5863718565224068,0.84294616596597,0.5260021291786697,1.4891851664042135,0.772830165675951,2,40,29,0.05099811135789262,9.343868507130765,0.15627828357512494,28.326561791100165
275,0.5960929989814758,1.6217830181121826,0.812388002872467,0.5812088884420292,1.5863718565224068,0.84294616596597,0.5260021291786697,1.4891851664042135,0.772830165675951,2,40,29,0.04908450308739829,8.615216488216744,0.15511203303080182,27.86786196514507
276,0.6021220088005066,1.6169439554214478,0.8128209710121155,0.6251614047265249,1.6494208140195765,0.8851794905030718,0.6747815649913957,1.611238765591708,0.6933980628086212,2,37,25,0.08259125529958836,13.945815123186149,0.13990636619050106,18.484844287006762
277,0.6116440296173096,1.611659049987793,0.8138049840927124,0.6251614047265249,1.6494208140195765,0.8851794905030718,0.6747815649913957,1.611238765591708,0.6933980628086212,2,37,25,0.08187179256592447,13.554796235592615,0.1359571686421901,19.18238125821756
278,0.6233789920806885,1.6116390228271484,0.8112050294876099,0.6251614047265249,1.6494208140195765,0.8851794905030718,0.6747815649913957,1.611238765591708,0.6933980628086212,2,37,25,0.08308346179039705,13.332127266792657,0.1285335213312055,19.249048368033918
